word,cefr,first_seen,status,book,chapters,freq_book,sources,example_en,example_cn,recommended_date,card_exported
nod,b2,2026-08-29,active,little_women,3,36,little_women|ch3|36,"I'll lift my eyebrows if any thing is wrong, and nod if you are all right.",“我要是有哪儿不对，就挑起眉毛；你要是没事，我就点头。”,2026-08-29,1
glance,b2,2026-08-29,active,little_women,3,50,little_women|ch3|50,"""I was trying to get something for Meg, who is very tired, and someone shook me, and here I am in a nice state,"" answered Jo, glancing dismally from the stained skirt to the coffee-colored glove.",“我是想给梅格弄点东西吃，她累坏了，谁知被人摇醒，就成了这副狼狈相。”乔扫了一眼答道。,2026-08-29,1
oblige,c1,2026-08-29,active,little_women,3,20,little_women|ch3|20,He asked Jo to oblige him by carrying the note to his grandson.,他请乔帮忙把字条捎给他的孙子。,2026-08-29,1
slip,b2,2026-08-29,active,little_women,3,27,little_women|ch3|27,"Slipping out, she ran down and, finding a servant, asked if he could get her a carriage.",她悄悄溜出去，跑下楼，找到一个仆人，问他能不能给她叫一辆马车。,2026-08-29,1
beg,b2,2026-08-29,active,little_women,4,46,little_women|ch4|46,"When Mr. March lost his property in trying to help an unfortunate friend, the two oldest girls begged to be allowed to do something toward their own support, at least.",马奇先生为帮助一位不幸的朋友而失去家产时，两个大女儿恳求允许她们做点什么来贴补家用。,2026-08-29,1
devote,b2,2026-08-29,active,little_women,4,34,little_women|ch4|34,"Even when he went away, and her mother was called to devote her skill and energy to Soldiers' Aid Societies, Beth went faithfully on by herself and did the best she could.",即使父亲离家、母亲应召把自己的技艺和精力献给士兵救济会之后，贝丝也仍然虔诚地尽着自己的本分。,2026-08-29,1
silence,b2,2026-08-29,active,little_women,4,30,little_women|ch4|30,"I like to think about them afterward, if they are real and not too preachy,"" said Jo, after a minute's silence.",“我喜欢事后慢慢琢磨它们，只要它们真实而不过分说教，”乔沉默片刻后说。,2026-08-29,1
possess,b2,2026-08-29,active,little_women,4,34,little_women|ch4|34,"She was a great favorite with her mates, being good-tempered and possessing the happy art of pleasing without effort.",她很受同伴喜爱，脾气温和，还有一种毫不费力就能讨人喜欢的本领。,2026-08-29,1
anxious,b2,2026-08-29,active,little_women,4,37,little_women|ch4|37,"He sat down near me, and I began to talk to him, for he looked poor and tired and anxious.",他坐在我身边，我便和他攀谈起来，因为他看上去又穷又累、心事重重。,2026-08-29,1
bless,b2,2026-08-29,active,little_women,4,51,little_women|ch4|51,"""Oh, bless you, no!",“哦，老天爷保佑，怎么会！”,2026-08-29,1
wise,b2,2026-08-29,active,little_women,4,35,little_women|ch4|35,"It was not a wise thing to do, but I kept on worrying till an old man came in with an order for some clothes.",那不是什么明智之举，可我一直愁个不停，直到一位老人进来，要订做几件衣服。,2026-08-29,1
fortune,b2,2026-08-29,active,little_women,4,27,little_women|ch4|27,"""We can't give up our girls for a dozen fortunes.",“我们可不能为了十几份家产就舍弃我们的姑娘们。”,2026-08-29,1
romance,b2,2026-08-29,active,little_women,4,27,little_women|ch4|27,Amy dreamed of romance and handsome princes in far-off lands.,艾米梦想着遥远国度的浪漫爱情和英俊王子。,2026-08-29,1
gay,b2,2026-08-29,active,little_women,4,29,little_women|ch4|29,"She tried not to be envious or discontented, but it was very natural that the young girl should long for pretty things, gay friends, accomplishments, and a happy life.",她努力不去嫉妒、不去抱怨，但年轻的姑娘渴望漂亮的东西、快活的朋友和欢乐的聚会，这再自然不过。,2026-08-29,1
dreadful,b2,2026-08-29,active,little_women,4,44,little_women|ch4|44,"My dear, it's really dreadful, for sometimes she is so bad her frock is up to her knees, and she can't come to school.",“亲爱的，这真的糟透了，有时候她裙子短得齐到膝盖，都没法来上学了。”,2026-08-29,1
altogether,b2,2026-08-29,active,little_women,4,28,little_women|ch4|28,"""I like good strong words that mean something,"" replied Jo, catching her hat as it took a leap off her head preparatory to flying away altogether.",“我喜欢有分量的好词，得有点含义，”乔答道，一把抓住她那顶正猛地一蹿、准备飞走的帽子。,2026-08-29,1
desire,b2,2026-08-29,active,little_women,4,28,little_women|ch4|28,"Her desire for pretty things was strong, but she tried to be content.",她对漂亮东西的渴望很强烈，但她努力让自己知足。,2026-08-29,1
nonsense,c1,2026-08-29,active,little_women,4,18,little_women|ch4|18,"What nonsense you talk, Jo! said Meg, laughing.",“你尽说胡话，乔！”梅格笑着说。,2026-08-29,1
creature,b2,2026-08-29,active,little_women,4,27,little_women|ch4|27,"She was a housewifely little creature, and helped Hannah keep home neat and comfortable for the workers, never thinking of any reward but to be loved.",她是个很会操持家务的小姑娘，帮着汉娜把家收拾得整洁舒适，供忙碌的人们享用，从不图什么回报。,2026-08-29,1
fond,b2,2026-08-29,active,little_women,4,39,little_women|ch4|39,"As she said, she was 'fond of luxury', and her chief trouble was poverty.",正如她所说，她“喜欢奢华”，而她最大的烦恼就是贫穷。,2026-08-29,1
temper,b2,2026-08-29,active,little_women,4,30,little_women|ch4|30,"""There never was such a cross family!"" cried Jo, losing her temper when she had upset an inkstand, broken both boot lacings, and sat down upon her hat.",“世上就没有这么乱糟糟的一家！”乔在打翻墨水瓶、扯断两根鞋带、又一屁股坐进扫帚之后，终于发起脾气来。,2026-08-29,1
disappoint,b2,2026-08-29,active,little_women,4,30,little_women|ch4|30,"She was afraid she would disappoint her mother, so she tried her very best.",她怕让妈妈失望，于是竭尽全力。,2026-08-29,1
pause,b2,2026-08-29,active,little_women,5,43,little_women|ch5|43,"She saw Mr. Lawrence drive off, and then sallied out to dig her way down to the hedge, where she paused and took a survey.",她看着劳伦斯先生驾车离去，然后出门一路铲雪来到树篱边，在那里停下脚步观望。,2026-08-29,1
sentimental,c1,2026-08-29,active,little_women,5,19,little_women|ch5|19,"Italians are always nice,"" said Meg, who was a little sentimental.",“意大利人总是那么和气，”梅格说，她是个有点多愁善感的姑娘。,2026-08-29,1
praise,b2,2026-08-29,active,little_women,5,29,little_women|ch5|29,"She wished Beth could hear him, but she did not say so, only praised him till he was quite abashed, and his grandfather came to his rescue.",她真希望贝丝也听听他演奏，可她没有说出来，只是一味夸他，夸得他窘得不行，这时他祖父来接他回家。,2026-08-29,1
lively,b2,2026-08-29,active,little_women,5,33,little_women|ch5|33,"He needs a party of jolly boys to play with, or somebody young and lively.",他需要一帮快活的男孩一起玩耍，或者需要个年轻活泼的人陪他。,2026-08-29,1
splendid,b2,2026-08-29,active,little_women,5,56,little_women|ch5|56,"Mother is so splendid, she'd do you heaps of good, and Beth would sing to you if I begged her to, and Amy would dance.",“妈妈是那么好，她会让你受益无穷；我要去求贝丝，她会给你唱歌，艾米会给你跳舞。”,2026-08-29,1
exclaim,b2,2026-08-29,active,little_women,5,39,little_women|ch5|39,"Before he could more, a bell rang, and Jo flew up, exclaiming with alarm, ""Mercy me!",他还没来得及多说，铃声响了，乔冲上楼来，惊慌地喊道：“天哪！”,2026-08-29,1
mercy,c1,2026-08-29,active,little_women,5,18,little_women|ch5|18,"Before he could more, a bell rang, and Jo flew up, exclaiming with alarm, ""Mercy me!",他还没来得及多说，铃声响了，乔冲上楼来，惊慌地喊道：“我的天哪！”,2026-08-29,1
grand,b2,2026-08-29,active,little_women,5,24,little_women|ch5|24,"It was a grand old house, with wide halls and tall windows.",那是一幢气派的旧宅，门厅宽阔，窗户高挑。,2026-08-29,1
broom,c1,2026-08-29,active,little_women,5,9,little_women|ch5|9,"Jo nodded and laughed, and flourished her broom as she called out . . .",乔点了点头笑了，挥舞着扫帚喊道……,2026-08-29,1
basket,b2,2026-08-29,active,little_women,5,25,little_women|ch5|25,"Beth says I never know when to stop."" ""Is Beth the rosy one, who stays at home good deal and sometimes goes out with a little basket?"" asked Laurie with interest.",“贝丝说我从不知道什么时候该停嘴。”“贝丝就是那个脸蛋红红的、常待在家里、偶尔挎着小篮子出门的姑娘吗？”,2026-08-29,1
propose,b2,2026-08-29,active,little_women,5,25,little_women|ch5|25,"When they rose she proposed to go, but Laurie said he had something more to show her, and took her away to the conservatory, which had been lighted for her benefit.",她们起身后，她提议告辞，可劳里说他还有东西要给她看，便带她去了温室。,2026-08-29,1
regard,b2,2026-08-29,active,little_women,5,25,little_women|ch5|25,"Her respect and regard for the 'Laurence' boy increased very much, for he played remarkably well and didn't put on any airs.",她对这位“劳伦斯家”的少年的敬重与好感大增，因为他琴弹得极好，而且一点也不摆架子。,2026-08-29,1
inquire,c1,2026-08-29,active,little_women,5,15,little_women|ch5|15,"""Mother, why didn't Mr. Laurence like to have Laurie play?"" asked Jo, who was of an inquiring disposition.",“妈妈，劳伦斯先生为什么不愿意劳里弹琴？”乔问道，她生性爱刨根问底。,2026-08-29,1
flourish,c1,2026-08-29,active,little_women,5,14,little_women|ch5|14,"Jo nodded and laughed, and flourished her broom as she called out . . .",乔点了点头笑了，挥舞着扫帚喊道……,2026-08-29,1
blunt,c1,2026-08-29,active,little_women,5,10,little_women|ch5|10,"He liked Jo, for her odd, blunt ways suited him, and she seemed to understand the boy almost as well as if she had been one herself.",他喜欢乔，因为她那种古怪、直率的做派很对他的胃口，而她似乎几乎像他自己一样了解这个男孩。,2026-08-29,1
entirely,b2,2026-08-29,active,little_women,5,20,little_women|ch5|20,The room was entirely empty when they entered.,他们进来时，房间里空空如也。,2026-08-29,1
maid,b2,2026-08-29,active,little_women,5,21,little_women|ch5|21,"""The doctor to see you, sir,"" and the maid beckoned as she spoke.",“大夫来看您了，先生。”女仆说着，做了个请的手势。,2026-08-29,1
respectful,c1,2026-08-29,active,little_women,5,8,little_women|ch5|8,"""Do you play?"" she asked, turning to Laurie with a respectful expression.",“你会弹琴吗？”她带着恭敬的神情转向劳里问道。,2026-08-29,1
in an altered tone,toe,2026-08-30,active,little_women,1,2,little_women|ch1|2,"Nobody spoke for a minute; then Meg said in an altered tone, ""You know the reason Mother proposed not having any presents this Christmas was because it is going to be a hard winter for everyone; and she thinks we ought not to spend money for pleasure, when our men are suffering so in the army.",谁也没说话，沉默了一分钟；随后梅格换了一种语气说道：“你们知道妈妈提议今年圣诞节不要任何礼物，是因为对每个人来说这都是一个艰难的冬天；她觉得当我们的男人们正在军队里受苦时，我们不该为享乐而花钱。”,2026-08-30,1
firmly believed,toe,2026-08-30,active,little_women,1,2,little_women|ch1|2,"You're a regular Shakespeare!"" exclaimed Beth, who firmly believed that her sisters were gifted with wonderful genius in all things.",“你真是个十足的莎士比亚！”贝丝大声喊道，她坚信自己的姐妹们方方面面都天赋异禀。,2026-08-30,1
little pilgrims,toe,2026-08-30,active,little_women,1,2,little_women|ch1|2,"Now, my little pilgrims, suppose you begin again, not in play, but in earnest, and see how far on you can get before Father comes home."" ""Really, Mother?","“好了,我的小朝圣者们,我们重新开始吧——不是做游戏,而是认认真真地,看看在爸爸回家之前你们能走多远。”",2026-08-30,1
nobody did,toe,2026-08-30,active,little_women,1,2,little_women|ch1|2,"Mine is dishes and dusters, and envying girls with nice pianos, and being afraid of people."" Beth's bundle was such a funny one that everybody wanted to laugh, but nobody did, for it would have hurt her feelings very much.","贝丝的这份「担子」实在太滑稽,大家都想笑,可谁也没有笑出来。",2026-08-30,1
sobbed out,toe,2026-08-30,active,little_women,1,1,little_women|ch1|1,"Jo wasn't ashamed of the great tear that dropped off the end of her nose, and Amy never minded the rumpling of her curls as she hid her face on her mother's shoulder and sobbed out, ""I am a selfish girl!",乔并不为那颗从鼻尖滚落的大泪珠感到难为情，艾米也毫不在意把脸埋进妈妈肩头时弄皱的卷发，她就这样伏在妈妈怀里，抽抽搭搭地哭道：“我是个自私的女孩！”,2026-08-30,1
strike up,b2,2026-08-30,active,little_women,2,1,little_women|ch2|1,"Strike up, Beth!","""贝丝,奏起来吧!""",2026-08-30,1
slipping out,toe,2026-08-30,active,little_women,3,1,little_women|ch3|1,"Slipping out, she ran down and, finding a servant, asked if he could get her a carriage.","她悄悄溜了出去,跑下楼,找到一名仆人,问他能不能帮她叫一辆马车。",2026-08-30,1
ran down,toe,2026-08-30,active,little_women,3,1,little_women|ch3|1,"Slipping out, she ran down and, finding a servant, asked if he could get her a carriage.","她溜了出来,跑下楼,找到一个仆人,问能不能给她叫一辆马车。",2026-08-30,1
settled it,toe,2026-08-30,active,little_women,3,2,little_women|ch3|2,"It's all on my way, you know, and it rains, they say."" That settled it, and telling him of Meg's mishap, Jo gratefully accepted and rushed up to bring down the rest of the party.","“反正顺路,你知道,而且他们说会下雨。”这一下就定了,乔便把她他们Meg遇到的麻烦告诉他,感激地答应了,急忙跑上楼去把仆人带下来。",2026-08-30,1
to look sober,b2,2026-08-30,active,little_women,3,2,little_women|ch3|2,"That put Jo at her ease and she laughed too, as she said, in her heartiest way, ""We did have such a good time over your nice Christmas present."" ""Grandpa sent it."" ""But you put it into his head, didn't you, now?"" ""How is your cat, Miss March?"" asked the boy, trying to look sober while his black eyes shone with fun.","这让乔安下心来,她也笑了,用她最爽朗的语气说:“我们过你的圣诞礼物可真开心。”“是爷爷送的。",2026-08-30,1
practiced away,toe,2026-08-30,active,little_women,4,1,little_women|ch4|1,"She loved music so dearly, tried so hard to learn, and practiced away so patiently at the jingling old instrument, that it did seem as if someone (not to hint Aunt March) ought to help her.",她深爱音乐，学得那么用心，又那么耐心地在那架叮当作响的旧琴上练个不停，以至于让人觉得仿佛冥冥之中真有什么力量在暗中成全她（至于是什么，且不去点破）。,2026-08-30,1
tears in her eyes,toe,2026-08-30,active,little_women,4,3,little_women|ch4|3,"""My only comfort,"" she said to Meg, with tears in her eyes, ""is that Mother doesn't take tucks in my dresses whenever I'm naughty, as Maria Parks's mother does.",“我唯一的安慰，”她眼含泪水对梅格说，“就是妈妈不会像玛丽亚·帕克斯的妈妈那样，我一淘气，就把我的裙子缝短几褶来惩罚我。”,2026-08-30,1
read away,a1,2026-08-30,active,little_women,4,1,little_women|ch4|1,"She never finds herself very soon, so the minute her cap began to bob like a top-heavy dahlia, I whipped the Vicar of Wakefield out of my pocket, and read away, with one eye on him and one on Aunt.",她总要好一阵子才会察觉自己在打瞌睡，所以她的帽子刚像一朵头重脚轻的大丽花似的开始一点一点往下垂，我就从口袋里抽出《威克菲尔德牧师传》，自顾自地读个不停。,2026-08-30,1
to be loved,toe,2026-08-30,active,little_women,4,2,little_women|ch4|2,"She was a housewifely little creature, and helped Hannah keep home neat and comfortable for the workers, never thinking of any reward but to be loved.",她是个天生会操持家务的小人儿，帮着汉娜把家里收拾得干净又舒适，好安顿那些在外劳作的人回家歇息；她从来没想过要什么回报，一心只求被人疼爱。,2026-08-30,1
everyone petted her,toe,2026-08-30,active,little_women,4,2,little_women|ch4|2,"Amy was in a fair way to be spoiled, for everyone petted her, and her small vanities and selfishnesses were growing nicely.","艾米正处在快要被宠坏的当口,因为人人都把她当宝贝一样捧着哄着,她那点小小的虚荣和自私也就一个劲儿地滋长起来。",2026-08-30,1
colored up,toe,2026-08-30,active,little_women,5,2,little_women|ch5|2,"She's my girl, and a regular good one she is, too."" ""The pretty one is Meg, and the curly-haired one is Amy, I believe?"" ""How did you find that out?"" Laurie colored up, but answered frankly, ""Why, you see I often hear you calling to one another, and when I'm alone up here, I can't help looking over at your house, you always seem to be having such good times.",「你怎么知道的?」劳里涨红了脸。,2026-08-30,1
much obliged,toe,2026-08-30,active,little_women,5,3,little_women|ch5|3,"""I'm a great deal better for it, and ever so much obliged.","经你这么一照看,我好多了,真是感激不尽。",2026-08-30,1
made a good impression,toe,2026-08-30,active,little_women,5,2,little_women|ch5|2,"But finding them free and easy, she was so herself, and made a good impression.","可她发现她们都随和自在,于是也放松下来做回自己,给大家留下了很好的印象。",2026-08-30,1
